Cygwin Package Information
Package                    Version                   	Status
libgc1                     8.2.8-1                        OK
libgcc1                    13.4.0-1                       OK
libgcrypt20                1.11.2-1                       OK
libgdbm4                   1.13-1                         OK
libgdbm6                   1.24-1                         OK
libgdbm_compat4            1.24-1                         OK
libglib2.0_0               2.86.0-1                       OK
libgmp10                   6.3.0-1                        OK
libgnutls30                3.8.9-1                        OK
libgomp1                   13.4.0-1                       OK
libgpg-error0              1.51-1                         OK
libgpgme11                 1.24.2-1                       OK
libgraphite2_3             1.3.14-1                       OK
libgsasl-common            2.2.2-1                        OK
libgsasl18                 2.2.2-1                        OK
libgssapi_krb5_2           1.15.2-2                       OK
libguile3.0_1              3.0.10-3                       OK
libharfbuzz0               11.0.1-2                       OK
libhogweed6                3.9.1-1                        OK
libiconv                   1.17-1                         OK
libiconv-devel             1.17-1                         OK
libiconv2                  1.17-1                         OK
libidn12                   1.43-1                         OK
libidn2_0                  2.3.8-1                        OK
libimagequant0             2.10.0-1                       OK
libintl-devel              0.22.5-1                       OK
libintl8                   0.22.5-1                       OK
libisl23                   0.27-1                         OK
libjbig2                   2.1-2                          OK
libjpeg8                   3.1.0-1                        OK
libk5crypto3               1.15.2-2                       OK
libkrb5_3                  1.15.2-2                       OK
libkrb5support0            1.15.2-2                       OK
libksba8                   1.6.7-1                        OK
liblastlog2                2.40.2-2                       OK
liblcms2_2                 2.16-1                         OK
liblz4_1                   1.9.4-1                        OK
liblzma5                   5.8.1-1                        OK
libmetalink3               0.1.3-1                        OK
libmpc3                    1.3.1-1                        OK
libmpfr6                   4.2.2-1                        OK
libncursesw10              6.5+20240427-1                 OK
libnettle8                 3.9.1-1                        OK
libnghttp2_14              1.67.1-1                       OK
libnpth0                   1.8-1                          OK
libntlm0                   1.4-1                          OK
libopenldap2               2.6.10-1                       OK
libopenldap2_4_2           2.6.10-1                       OK
libp11-kit0                0.23.20-1                      OK
libpcre1                   8.45-1                         OK
libpcre2_8_0               10.46-1                        OK
libpipeline1               1.5.8-1                        OK
libpkgconf7                2.5.1-1                        OK
libpng16                   1.6.47-2                       OK
libpopt-common             1.19-1                         OK
libpopt0                   1.19-1                         OK
libpsl5                    0.21.5-1                       OK
libquadmath0               13.4.0-1                       OK
libraqm0                   0.7.0-1                        OK
libreadline7               8.2-2                          OK
libreadline8               8.3-1                          OK
libsasl2_3                 2.1.27-1                       OK
libsmartcols1              2.40.2-2                       OK
libsqlite3_0               3.49.1-1                       OK
libssh2_1                  1.11.0-1                       OK
libssl1.0                  1.0.2u+za-1                    OK
libssl1.1                  1.1.1w-1                       OK
libssl3                    3.0.17-1                       OK
libstdc++6                 13.4.0-1                       OK
libtasn1_6                 4.14-1                         OK
libtiff7                   4.7.0-1                        OK
libuchardet0               0.0.8-1                        OK
libunistring5              1.2-1                          OK
libusb1.0                  1.0.21-1                       OK
libuuid1                   2.40.2-2                       OK
libwebp7                   1.6.0-1                        OK
libwebpdemux2              1.6.0-1                        OK
libwebpmux3                1.6.0-1                        OK
libXau6                    1.0.12-1                       OK
libxcb1                    1.17.0-1                       OK
libXdmcp6                  1.1.5-1                        OK
